"from","to","combined_score"
"9606.ENSP00000216181","9606.ENSP00000226207",903
"9606.ENSP00000216181","9606.ENSP00000226207",903
"9606.ENSP00000216181","9606.ENSP00000226279",447
"9606.ENSP00000216181","9606.ENSP00000226279",447
"9606.ENSP00000226207","9606.ENSP00000232975",473
"9606.ENSP00000226207","9606.ENSP00000232975",473
"9606.ENSP00000226207","9606.ENSP00000255416",455
"9606.ENSP00000226207","9606.ENSP00000255416",455
"9606.ENSP00000226207","9606.ENSP00000260950",562
"9606.ENSP00000226207","9606.ENSP00000260950",562
"9606.ENSP00000222271","9606.ENSP00000261023",684
"9606.ENSP00000222271","9606.ENSP00000261023",684
"9606.ENSP00000259526","9606.ENSP00000261023",592
"9606.ENSP00000259526","9606.ENSP00000261023",592
"9606.ENSP00000216181","9606.ENSP00000262113",464
"9606.ENSP00000216181","9606.ENSP00000262113",464
"9606.ENSP00000226207","9606.ENSP00000262113",657
"9606.ENSP00000226207","9606.ENSP00000262113",657
"9606.ENSP00000226279","9606.ENSP00000262113",592
"9606.ENSP00000226279","9606.ENSP00000262113",592
"9606.ENSP00000255416","9606.ENSP00000262113",413
"9606.ENSP00000255416","9606.ENSP00000262113",413
"9606.ENSP00000255416","9606.ENSP00000272198",472
"9606.ENSP00000255416","9606.ENSP00000272198",472
"9606.ENSP00000216181","9606.ENSP00000274364",714
"9606.ENSP00000216181","9606.ENSP00000274364",714
"9606.ENSP00000226207","9606.ENSP00000274364",694
"9606.ENSP00000226207","9606.ENSP00000274364",694
"9606.ENSP00000222271","9606.ENSP00000283249",605
"9606.ENSP00000222271","9606.ENSP00000283249",605
"9606.ENSP00000261023","9606.ENSP00000283249",999
"9606.ENSP00000261023","9606.ENSP00000283249",999
"9606.ENSP00000262113","9606.ENSP00000284669",405
"9606.ENSP00000262113","9606.ENSP00000284669",405
"9606.ENSP00000261023","9606.ENSP00000295550",915
"9606.ENSP00000261023","9606.ENSP00000295550",915
"9606.ENSP00000262551","9606.ENSP00000295550",480
"9606.ENSP00000262551","9606.ENSP00000295550",480
"9606.ENSP00000283249","9606.ENSP00000295550",707
"9606.ENSP00000283249","9606.ENSP00000295550",707
"9606.ENSP00000222271","9606.ENSP00000299855",622
"9606.ENSP00000222271","9606.ENSP00000299855",622
"9606.ENSP00000232975","9606.ENSP00000306163",419
"9606.ENSP00000232975","9606.ENSP00000306163",419
"9606.ENSP00000247668","9606.ENSP00000307235",601
"9606.ENSP00000247668","9606.ENSP00000307235",601
"9606.ENSP00000216181","9606.ENSP00000307280",979
"9606.ENSP00000216181","9606.ENSP00000307280",979
"9606.ENSP00000226207","9606.ENSP00000307280",983
"9606.ENSP00000226207","9606.ENSP00000307280",983
"9606.ENSP00000232975","9606.ENSP00000307280",715
"9606.ENSP00000232975","9606.ENSP00000307280",715
"9606.ENSP00000255416","9606.ENSP00000307280",738
"9606.ENSP00000255416","9606.ENSP00000307280",738
"9606.ENSP00000262113","9606.ENSP00000307280",681
"9606.ENSP00000262113","9606.ENSP00000307280",681
"9606.ENSP00000284669","9606.ENSP00000307280",550
"9606.ENSP00000284669","9606.ENSP00000307280",550
"9606.ENSP00000253925","9606.ENSP00000314724",841
"9606.ENSP00000253925","9606.ENSP00000314724",841
"9606.ENSP00000272198","9606.ENSP00000314724",838
"9606.ENSP00000272198","9606.ENSP00000314724",838
"9606.ENSP00000226279","9606.ENSP00000320084",424
"9606.ENSP00000226279","9606.ENSP00000320084",424
"9606.ENSP00000263918","9606.ENSP00000324729",505
"9606.ENSP00000263918","9606.ENSP00000324729",505
"9606.ENSP00000216181","9606.ENSP00000325239",936
"9606.ENSP00000216181","9606.ENSP00000325239",936
"9606.ENSP00000226207","9606.ENSP00000325239",980
"9606.ENSP00000226207","9606.ENSP00000325239",980
"9606.ENSP00000232975","9606.ENSP00000325239",539
"9606.ENSP00000232975","9606.ENSP00000325239",539
"9606.ENSP00000255416","9606.ENSP00000325239",529
"9606.ENSP00000255416","9606.ENSP00000325239",529
"9606.ENSP00000262113","9606.ENSP00000325239",406
"9606.ENSP00000262113","9606.ENSP00000325239",406
"9606.ENSP00000307280","9606.ENSP00000325239",991
"9606.ENSP00000307280","9606.ENSP00000325239",991
"9606.ENSP00000247668","9606.ENSP00000326737",993
"9606.ENSP00000247668","9606.ENSP00000326737",993
"9606.ENSP00000232975","9606.ENSP00000331746",618
"9606.ENSP00000232975","9606.ENSP00000331746",618
"9606.ENSP00000226207","9606.ENSP00000339730",435
"9606.ENSP00000226207","9606.ENSP00000339730",435
"9606.ENSP00000261023","9606.ENSP00000339730",639
"9606.ENSP00000261023","9606.ENSP00000339730",639
"9606.ENSP00000283249","9606.ENSP00000339730",658
"9606.ENSP00000283249","9606.ENSP00000339730",658
"9606.ENSP00000295550","9606.ENSP00000339730",672
"9606.ENSP00000295550","9606.ENSP00000339730",672
"9606.ENSP00000216181","9606.ENSP00000341838",607
"9606.ENSP00000216181","9606.ENSP00000341838",607
"9606.ENSP00000226207","9606.ENSP00000341838",675
"9606.ENSP00000226207","9606.ENSP00000341838",675
"9606.ENSP00000232975","9606.ENSP00000341838",999
"9606.ENSP00000232975","9606.ENSP00000341838",999
"9606.ENSP00000307280","9606.ENSP00000341838",898
"9606.ENSP00000307280","9606.ENSP00000341838",898
"9606.ENSP00000325239","9606.ENSP00000341838",668
"9606.ENSP00000325239","9606.ENSP00000341838",668
"9606.ENSP00000216181","9606.ENSP00000349305",457
"9606.ENSP00000216181","9606.ENSP00000349305",457
"9606.ENSP00000226207","9606.ENSP00000350332",636
"9606.ENSP00000226207","9606.ENSP00000350332",636
"9606.ENSP00000232975","9606.ENSP00000350332",755
"9606.ENSP00000232975","9606.ENSP00000350332",755
"9606.ENSP00000307280","9606.ENSP00000350332",784
"9606.ENSP00000307280","9606.ENSP00000350332",784
"9606.ENSP00000325239","9606.ENSP00000350332",654
"9606.ENSP00000325239","9606.ENSP00000350332",654
"9606.ENSP00000341838","9606.ENSP00000350332",680
"9606.ENSP00000341838","9606.ENSP00000350332",680
"9606.ENSP00000232217","9606.ENSP00000350425",824
"9606.ENSP00000232217","9606.ENSP00000350425",824
"9606.ENSP00000271332","9606.ENSP00000350425",432
"9606.ENSP00000271332","9606.ENSP00000350425",432
"9606.ENSP00000274024","9606.ENSP00000350425",614
"9606.ENSP00000274024","9606.ENSP00000350425",614
"9606.ENSP00000299855","9606.ENSP00000350425",430
"9606.ENSP00000299855","9606.ENSP00000350425",430
"9606.ENSP00000331746","9606.ENSP00000350425",513
"9606.ENSP00000331746","9606.ENSP00000350425",513
"9606.ENSP00000262113","9606.ENSP00000351206",445
"9606.ENSP00000262113","9606.ENSP00000351206",445
"9606.ENSP00000317714","9606.ENSP00000351206",727
"9606.ENSP00000317714","9606.ENSP00000351206",727
"9606.ENSP00000247668","9606.ENSP00000351908",999
"9606.ENSP00000247668","9606.ENSP00000351908",999
"9606.ENSP00000307235","9606.ENSP00000351908",566
"9606.ENSP00000307235","9606.ENSP00000351908",566
"9606.ENSP00000216181","9606.ENSP00000354923",410
"9606.ENSP00000216181","9606.ENSP00000354923",410
"9606.ENSP00000226207","9606.ENSP00000354923",565
"9606.ENSP00000226207","9606.ENSP00000354923",565
"9606.ENSP00000232975","9606.ENSP00000354923",682
"9606.ENSP00000232975","9606.ENSP00000354923",682
"9606.ENSP00000260950","9606.ENSP00000354923",730
"9606.ENSP00000260950","9606.ENSP00000354923",730
"9606.ENSP00000295550","9606.ENSP00000354923",446
"9606.ENSP00000295550","9606.ENSP00000354923",446
"9606.ENSP00000307280","9606.ENSP00000354923",754
"9606.ENSP00000307280","9606.ENSP00000354923",754
"9606.ENSP00000336775","9606.ENSP00000354923",875
"9606.ENSP00000336775","9606.ENSP00000354923",875
"9606.ENSP00000341838","9606.ENSP00000354923",773
"9606.ENSP00000341838","9606.ENSP00000354923",773
"9606.ENSP00000350332","9606.ENSP00000354923",687
"9606.ENSP00000350332","9606.ENSP00000354923",687
"9606.ENSP00000216181","9606.ENSP00000355499",566
"9606.ENSP00000216181","9606.ENSP00000355499",566
"9606.ENSP00000247668","9606.ENSP00000355865",864
"9606.ENSP00000247668","9606.ENSP00000355865",864
"9606.ENSP00000216181","9606.ENSP00000356042",543
"9606.ENSP00000216181","9606.ENSP00000356042",543
"9606.ENSP00000274364","9606.ENSP00000356042",705
"9606.ENSP00000274364","9606.ENSP00000356042",705
"9606.ENSP00000275815","9606.ENSP00000357668",637
"9606.ENSP00000275815","9606.ENSP00000357668",637
"9606.ENSP00000295550","9606.ENSP00000357668",437
"9606.ENSP00000295550","9606.ENSP00000357668",437
"9606.ENSP00000299855","9606.ENSP00000357668",443
"9606.ENSP00000299855","9606.ENSP00000357668",443
"9606.ENSP00000354923","9606.ENSP00000357668",436
"9606.ENSP00000354923","9606.ENSP00000357668",436
"9606.ENSP00000247668","9606.ENSP00000358541",662
"9606.ENSP00000247668","9606.ENSP00000358541",662
"9606.ENSP00000263918","9606.ENSP00000358541",998
"9606.ENSP00000263918","9606.ENSP00000358541",998
"9606.ENSP00000275815","9606.ENSP00000360293",422
"9606.ENSP00000275815","9606.ENSP00000360293",422
"9606.ENSP00000325239","9606.ENSP00000360293",618
"9606.ENSP00000325239","9606.ENSP00000360293",618
"9606.ENSP00000341838","9606.ENSP00000362817",716
"9606.ENSP00000341838","9606.ENSP00000362817",716
"9606.ENSP00000350425","9606.ENSP00000362817",408
"9606.ENSP00000350425","9606.ENSP00000362817",408
"9606.ENSP00000306163","9606.ENSP00000363557",416
"9606.ENSP00000306163","9606.ENSP00000363557",416
"9606.ENSP00000307280","9606.ENSP00000363557",665
"9606.ENSP00000307280","9606.ENSP00000363557",665
"9606.ENSP00000222271","9606.ENSP00000369071",456
"9606.ENSP00000222271","9606.ENSP00000369071",456
"9606.ENSP00000226207","9606.ENSP00000369071",428
"9606.ENSP00000226207","9606.ENSP00000369071",428
"9606.ENSP00000259526","9606.ENSP00000369071",718
"9606.ENSP00000259526","9606.ENSP00000369071",718
"9606.ENSP00000261023","9606.ENSP00000369071",768
"9606.ENSP00000261023","9606.ENSP00000369071",768
"9606.ENSP00000262551","9606.ENSP00000369071",562
"9606.ENSP00000262551","9606.ENSP00000369071",562
"9606.ENSP00000295550","9606.ENSP00000369071",782
"9606.ENSP00000295550","9606.ENSP00000369071",782
"9606.ENSP00000299855","9606.ENSP00000369071",556
"9606.ENSP00000299855","9606.ENSP00000369071",556
"9606.ENSP00000339730","9606.ENSP00000369071",572
"9606.ENSP00000339730","9606.ENSP00000369071",572
"9606.ENSP00000357668","9606.ENSP00000369071",508
"9606.ENSP00000357668","9606.ENSP00000369071",508
"9606.ENSP00000216181","9606.ENSP00000379210",944
"9606.ENSP00000216181","9606.ENSP00000379210",944
"9606.ENSP00000226207","9606.ENSP00000379210",945
"9606.ENSP00000226207","9606.ENSP00000379210",945
"9606.ENSP00000232975","9606.ENSP00000379210",768
"9606.ENSP00000232975","9606.ENSP00000379210",768
"9606.ENSP00000255416","9606.ENSP00000379210",442
"9606.ENSP00000255416","9606.ENSP00000379210",442
"9606.ENSP00000262113","9606.ENSP00000379210",519
"9606.ENSP00000262113","9606.ENSP00000379210",519
"9606.ENSP00000306163","9606.ENSP00000379210",512
"9606.ENSP00000306163","9606.ENSP00000379210",512
"9606.ENSP00000307280","9606.ENSP00000379210",919
"9606.ENSP00000307280","9606.ENSP00000379210",919
"9606.ENSP00000325239","9606.ENSP00000379210",845
"9606.ENSP00000325239","9606.ENSP00000379210",845
"9606.ENSP00000341838","9606.ENSP00000379210",944
"9606.ENSP00000341838","9606.ENSP00000379210",944
"9606.ENSP00000350332","9606.ENSP00000379210",762
"9606.ENSP00000350332","9606.ENSP00000379210",762
"9606.ENSP00000354923","9606.ENSP00000379210",768
"9606.ENSP00000354923","9606.ENSP00000379210",768
"9606.ENSP00000362817","9606.ENSP00000379210",597
"9606.ENSP00000362817","9606.ENSP00000379210",597
"9606.ENSP00000363557","9606.ENSP00000379210",456
"9606.ENSP00000363557","9606.ENSP00000379210",456
"9606.ENSP00000247668","9606.ENSP00000379365",594
"9606.ENSP00000247668","9606.ENSP00000379365",594
"9606.ENSP00000326737","9606.ENSP00000379365",410
"9606.ENSP00000326737","9606.ENSP00000379365",410
"9606.ENSP00000331746","9606.ENSP00000379472",744
"9606.ENSP00000331746","9606.ENSP00000379472",744
"9606.ENSP00000350425","9606.ENSP00000379472",589
"9606.ENSP00000350425","9606.ENSP00000379472",589
"9606.ENSP00000356162","9606.ENSP00000379472",504
"9606.ENSP00000356162","9606.ENSP00000379472",504
"9606.ENSP00000247668","9606.ENSP00000379612",763
"9606.ENSP00000247668","9606.ENSP00000379612",763
"9606.ENSP00000355865","9606.ENSP00000379612",660
"9606.ENSP00000355865","9606.ENSP00000379612",660
"9606.ENSP00000216181","9606.ENSP00000379643",432
"9606.ENSP00000216181","9606.ENSP00000379643",432
"9606.ENSP00000328998","9606.ENSP00000379643",704
"9606.ENSP00000328998","9606.ENSP00000379643",704
"9606.ENSP00000354923","9606.ENSP00000379643",415
"9606.ENSP00000354923","9606.ENSP00000379643",415
"9606.ENSP00000260950","9606.ENSP00000380349",522
"9606.ENSP00000260950","9606.ENSP00000380349",522
"9606.ENSP00000262113","9606.ENSP00000380349",403
"9606.ENSP00000262113","9606.ENSP00000380349",403
"9606.ENSP00000306163","9606.ENSP00000380349",574
"9606.ENSP00000306163","9606.ENSP00000380349",574
"9606.ENSP00000307280","9606.ENSP00000380349",726
"9606.ENSP00000307280","9606.ENSP00000380349",726
"9606.ENSP00000336775","9606.ENSP00000380349",463
"9606.ENSP00000336775","9606.ENSP00000380349",463
"9606.ENSP00000354923","9606.ENSP00000380349",699
"9606.ENSP00000354923","9606.ENSP00000380349",699
"9606.ENSP00000261023","9606.ENSP00000380948",974
"9606.ENSP00000261023","9606.ENSP00000380948",974
"9606.ENSP00000283249","9606.ENSP00000380948",906
"9606.ENSP00000283249","9606.ENSP00000380948",906
"9606.ENSP00000356042","9606.ENSP00000380948",432
"9606.ENSP00000356042","9606.ENSP00000380948",432
"9606.ENSP00000320084","9606.ENSP00000381072",420
"9606.ENSP00000320084","9606.ENSP00000381072",420
"9606.ENSP00000216181","9606.ENSP00000383023",937
"9606.ENSP00000216181","9606.ENSP00000383023",937
"9606.ENSP00000226207","9606.ENSP00000383023",944
"9606.ENSP00000226207","9606.ENSP00000383023",944
"9606.ENSP00000307280","9606.ENSP00000383023",828
"9606.ENSP00000307280","9606.ENSP00000383023",828
"9606.ENSP00000325239","9606.ENSP00000383023",900
"9606.ENSP00000325239","9606.ENSP00000383023",900
"9606.ENSP00000341838","9606.ENSP00000383023",647
"9606.ENSP00000341838","9606.ENSP00000383023",647
"9606.ENSP00000360293","9606.ENSP00000383023",610
"9606.ENSP00000360293","9606.ENSP00000383023",610
"9606.ENSP00000379210","9606.ENSP00000383023",852
"9606.ENSP00000379210","9606.ENSP00000383023",852
"9606.ENSP00000354923","9606.ENSP00000384084",963
"9606.ENSP00000354923","9606.ENSP00000384084",963
"9606.ENSP00000357668","9606.ENSP00000384084",447
"9606.ENSP00000357668","9606.ENSP00000384084",447
"9606.ENSP00000262113","9606.ENSP00000394770",782
"9606.ENSP00000262113","9606.ENSP00000394770",782
"9606.ENSP00000336775","9606.ENSP00000394770",705
