"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id"
"1","query_1",TRUE,0.0245804912563359,2,19,1,0.0526315789473684,0.5,"CORUM:7345","CORUM","DISC1-TRAK1 complex",3383,2783,"CORUM","TRAK1","TRAK1","ENSG00000182606"
"2","query_1",TRUE,0.0245804912563359,2,19,1,0.0526315789473684,0.5,"CORUM:7062","CORUM","NFAT5-WWTR1 complex",3383,2559,"CORUM","NFAT5","NFAT5","ENSG00000102908"
"3","query_1",TRUE,0.0245804912563359,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:6621","CORUM","NEK2A-SAV1-STK3 complex",3383,2260,"CORUM","SAV1","SAV1","ENSG00000151748"
"4","query_1",TRUE,0.0245804912563359,2,19,1,0.0526315789473684,0.5,"CORUM:7561","CORUM","NCKAP1-WASF3 complex",3383,2894,"CORUM","WASF3","WASF3","ENSG00000132970"
"5","query_1",TRUE,0.0245804912563359,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:7562","CORUM","NCKAP1-WASF3-RAC1 complex",3383,2895,"CORUM","WASF3","WASF3","ENSG00000132970"
"6","query_1",TRUE,0.0245804912563359,2,19,1,0.0526315789473684,0.5,"CORUM:6182","CORUM","PP2A A/C-striatin complex",3383,1953,"CORUM","STRN","STRN","ENSG00000115808"
"7","query_1",TRUE,0.0245804912563359,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:6587","CORUM","CAP-cbl-flotilin complex",3383,2237,"CORUM","SORBS1","SORBS1","ENSG00000095637"
"8","query_1",TRUE,0.0245804912563359,2,19,1,0.0526315789473684,0.5,"CORUM:6432","CORUM","TTN-TCAP complex",3383,2122,"CORUM","TTN","TTN","ENSG00000155657"
"9","query_1",TRUE,0.0245804912563359,2,19,1,0.0526315789473684,0.5,"CORUM:6404","CORUM","MST2-SAV1 complex",3383,2103,"CORUM","SAV1","SAV1","ENSG00000151748"
"10","query_1",TRUE,0.0245804912563359,2,19,1,0.0526315789473684,0.5,"CORUM:6403","CORUM","MST1-SAV1 complex",3383,2102,"CORUM","SAV1","SAV1","ENSG00000151748"
