"protein","-15.5","-14.5","-13.5","-12.5","-11.5","-10.5","-9.5","-8.5","-7.5","-6.5","-5.5","-4.5","-3.5","-2.5","-1.5","-0.5","start_year","dir","label","cluster_color","P_value","Adj_P_value"
"EDA2R",NA,0.393571997129467,0.402419486552853,0.419209549147732,0.437793256026295,0.459239373069198,0.484237509464225,0.512728977384174,0.543921327261901,0.576627568856826,0.610050430661269,0.644128326412733,0.679710002315034,0.718130661649501,0.759878521734417,0.806418222701706,-14.1,"increase","TNF receptor / JNK signaling activation","#ff8765",0.000161084426886227,0.000817354314200483
"MEGF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.192555086393692,0.293111631510397
"NEFL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48499673994409,0.739692055786481,1.31351567550128,-2.3,"increase","TGFβ activation","#aeff65",0,0
"CSRP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.782690052629588,0.820081126623028,0.82225572761176,0.816050026572611,0.850855230895221,0.962726490773081,1.15787571064413,-6.9,"increase","Skeletal muscle","#ff0000",0.000357857758297109,0.00156835326880864
"ANKRD2",NA,0.521832115961351,0.537381522407965,0.559594960197375,0.581808398084254,0.60402183629296,0.62623527508994,0.648448714645914,0.670662154925475,0.692875595683379,0.715089036583155,0.737302477398075,0.759515918286493,0.781729359780342,0.80394280222144,0.827266917576127,-14.4,"increase","Skeletal muscle","#ff0000",0.228856393229485,0.313533258724395
"CORO6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.410549658237463,0.469712610871298,0.539316084623611,0.608919558521663,0.678523032728231,0.748126507363284,0.821210156128793,-6.7,"increase","14","#7975ef",0,0
"CA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.450714621623864,0.493513036696632,0.559356752134017,0.625200467558443,0.691044183159543,0.756887899117454,0.826023801308311,-6.3,"increase","Skeletal muscle","#ff0000",0.000103226796037581,0.000565682842285944
"HS6ST2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29942607231115,0.322341696417322,0.350986226750149,0.381062983779119,-3.6,"increase","Unclustered","#D3D3D3",0.0116377109425407,0.0274890758470359
"RBFOX3",NA,NA,NA,NA,NA,NA,NA,NA,0.327354848539715,0.352985875832857,0.386522846327558,0.422563642420782,0.462356311681402,0.506815727335511,0.555918624933365,0.610932970297687,-7.6,"increase","TGFβ activation","#aeff65",0.000552883614700073,0.00216414443468314
"MYBPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skeletal muscle","#ff0000",0.0070195160024929,0.0181447866479533
"ART3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skeletal muscle","#ff0000",0.378610543139297,0.463121825090033
"TNNC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699059506978611,0.76347910995509,0.862586191522933,0.961693273550268,1.06080035633447,1.16486279400662,-5.3,"increase","Skeletal muscle","#ff0000",4.5420712760702e-05,0.000282847165828008
"MYBPC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528796826005368,0.586106052374794,0.690304644572765,0.794503235754818,0.89870182694569,1.00811034869496,-5.1,"increase","Skeletal muscle","#ff0000",1.01457530199411e-06,1.38996816373194e-05
"MYOM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.708176076341545,-0.0999999999999996,"increase","Skeletal muscle","#ff0000",1.1419209950958e-05,9.20253978400735e-05
"HSPB6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275672161251509,0.296390292422082,0.325987623050033,0.355584954388048,0.38518228644424,0.416259485634732,-5.4,"increase","Unclustered","#D3D3D3",0.000382164387847994,0.00156835326880864
"CD276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","#ffca65",0.127973410473842,0.219154465436455
"DTNB",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320885655196268,0.3679100825524,0.430609319039285,0.49330855557233,0.556007792189001,0.618707028903894,0.684541227525054,-6.5,"increase","3","#b24d00",0,0
"AFAP1L1",0.343773953158185,0.354380612470295,0.364987271794533,0.375593931171452,0.386200590665416,0.396807250341708,0.407413910230143,0.418020570302994,0.428627230488633,0.439233890699231,0.449840550884589,0.460447211060548,0.471053871330232,0.481660531836669,0.492267192634113,0.503404186723619,-16,"increase","Unclustered","#D3D3D3",0.226021551489454,0.31277729852581
"HPCAL4",-0.429862367212396,-0.401006466490947,-0.37215056576279,-0.34329466500351,-0.314438764173259,-0.295682428581044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16,"decrease","Unclustered","#D3D3D3",0.00943955610470149,0.0235130761153473
"TXLNB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177652605683394,0.19509582448438,0.220241462353687,0.246989202505029,-3.4,"increase","17","#c975ef",0.00619552439927146,0.0166428792686312
"MYL11",NA,NA,NA,NA,NA,NA,NA,NA,0.460442268267679,0.500923763703691,0.552076870640932,0.591566819252881,0.625102464364065,0.659283066609828,0.699398091139414,0.749487783007847,-7.3,"increase","Skeletal muscle","#ff0000",0.00245421503108478,0.00764153316496853
"CALCA",NA,NA,NA,NA,NA,NA,NA,0.472566010920178,0.503577216802982,0.545277365233489,0.593290192437169,0.646514611937835,0.704677554876441,0.767067089762236,0.830314987358257,0.894927147561101,-8.8,"increase","19","#ef75e0",7.46289425922475e-05,0.000426006880630746
"CMYA5",NA,NA,NA,NA,NA,NA,NA,0.557713699831969,0.611209579733545,0.69697120511831,0.777962145688176,0.854741494753052,0.929011879091098,1.00355697845107,1.0808342201088,1.16529899107271,-8.2,"increase","Skeletal muscle","#ff0000",4.27547091985669e-06,3.90493010680245e-05
"NEB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444601072409061,-0.199999999999999,"increase","Skeletal muscle","#ff0000",0.00450837472118892,0.0126050476898547
"ACTN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586784813072388,0.635469134725048,0.692744806907414,0.750020479608414,0.807296153555113,0.86743561251739,-5.7,"increase","Skeletal muscle","#ff0000",0.00116199323281607,0.00397982682239505
"ALDH3A1",0.787872354676973,0.769764544285556,0.751656733901537,0.733548923576618,0.715441113425518,0.697333303630673,0.679225494359653,0.661117685661802,0.643009877403446,0.624902069293582,0.606794260982281,0.596834966230132,NA,NA,NA,NA,-16,"increase","Unclustered","#D3D3D3",0.312234755249601,0.392441848341242
"ITGAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","#ffca65",0.196979900647597,0.29332876509479
"MYL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skeletal muscle","#ff0000",0.000581580775769142,0.00221323795223257
